redata-commons,2021-05-02,1,1
redata-commons,2021-05-03,8,2
redata-commons,2021-05-14,2,1
redata-commons,2021-05-17,61,1
redata-commons,2021-05-18,29,1
redata-commons,2021-05-19,41,1
redata-commons,2021-05-24,9,1
redata-commons,2021-05-25,12,2
redata-commons,2021-05-26,5,2
redata-docs,2021-05-25,3,1
redata-docs,2021-05-26,50,1
redata-docs,2021-05-27,2,1
uptime,2021-03-05,2,1
uptime,2021-03-18,6,1
uptime,2021-03-31,1,1
uptime,2021-04-01,3,1
uptime,2021-04-09,4,1
uptime,2021-04-12,3,1
uptime,2021-04-13,13,1
uptime,2021-04-21,6,1
uptime,2021-04-23,22,2
uptime,2021-04-28,3,1
uptime,2021-05-16,5,1
