repository_name,date,clones,unique
ReM,2021-03-25,4,2
ReM,2021-03-26,9,1
ReM,2021-03-30,14,4
ReM,2021-04-01,7,2
ReM,2021-04-05,1,1
ReM,2021-04-18,1,1
ReM,2021-04-19,12,1
ReM,2021-04-20,1,1
ReM,2021-04-21,1,1
ReM,2021-04-28,24,4
ReM,2021-04-29,14,3
ReM,2021-04-30,17,7
ReM,2021-05-01,1,1
ReM,2021-05-06,25,2
ReM,2021-05-08,2,2
ReM,2021-05-09,1,1
ReM,2021-05-10,13,2
ReM,2021-05-11,20,3
ReM,2021-05-12,8,3
ReM,2021-05-13,48,5
ReM,2021-05-15,1,1
ReM,2021-05-17,2,2
ReM,2021-05-18,1,1
ReM,2021-05-26,1,1
ReM,2021-05-28,1,1
ReM,2021-06-01,1,1
ReM,2021-06-08,13,2
ReM,2021-06-09,19,2
ReM,2021-06-15,1,1
ReM,2021-06-18,1,1
ReM,2021-06-28,11,3
ReM,2021-07-01,7,5
ReM,2021-07-03,1,1
ReM,2021-07-12,1,1
ReM,2021-07-23,2,2
ReM,2021-07-26,6,1
ReM,2021-08-21,1,1
ReM,2021-08-23,1,1
ReM,2021-08-24,1,1
ReM,2021-08-25,2,1
ReM,2021-08-26,1,1
ReM,2021-09-01,1,1
ReM,2021-09-05,1,1
ReM,2021-09-07,1,1
ReM,2021-09-09,1,1
ReM,2021-09-10,1,1
ReM,2021-09-13,1,1
ReM,2021-09-18,1,1
ReM,2021-09-24,1,1
ReM,2021-09-30,1,1
ReM,2021-10-06,1,1
ReM,2021-10-10,1,1
ReM,2021-10-16,1,1
ReM,2021-10-21,9,2
ReM,2021-11-01,1,1
ReM,2021-11-13,1,1
ReM,2021-11-17,1,1
ReM,2021-11-26,2,2
ReM,2021-11-29,1,1
ReM,2021-12-08,2,1
ReM,2021-12-09,1,1
ReM,2021-12-10,1,1
ReM,2021-12-13,1,1
ReM,2021-12-22,1,1
ReM,2022-01-01,2,1
ReM,2022-01-07,1,1
ReM,2022-01-18,2,1
ReM,2022-01-20,2,1
ReM,2022-01-25,2,1
ReM,2022-02-12,1,1
ReM,2022-03-03,1,1
ReQUIAM,2021-03-20,1,1
ReQUIAM,2021-03-25,9,1
ReQUIAM,2021-04-02,52,6
ReQUIAM,2021-04-03,1,1
ReQUIAM,2021-04-12,17,3
ReQUIAM,2021-04-14,19,3
ReQUIAM,2021-04-15,1,1
ReQUIAM,2021-04-19,16,2
ReQUIAM,2021-04-20,31,8
ReQUIAM,2021-04-22,14,3
ReQUIAM,2021-04-26,46,6
ReQUIAM,2021-04-27,35,6
ReQUIAM,2021-05-13,1,1
ReQUIAM,2021-05-21,1,1
ReQUIAM,2021-06-03,2,2
ReQUIAM,2021-06-11,1,1
ReQUIAM,2021-06-28,7,2
ReQUIAM,2021-07-01,8,6
ReQUIAM,2021-07-03,1,1
ReQUIAM,2021-07-07,3,3
ReQUIAM,2021-07-09,1,1
ReQUIAM,2021-07-10,1,1
ReQUIAM,2021-07-12,1,1
ReQUIAM,2021-07-15,7,2
ReQUIAM,2021-07-17,1,1
ReQUIAM,2021-07-20,96,12
ReQUIAM,2021-07-21,68,11
ReQUIAM,2021-07-22,76,16
ReQUIAM,2021-07-23,1,1
ReQUIAM,2021-07-24,1,1
ReQUIAM,2021-07-28,21,6
ReQUIAM,2021-08-05,1,1
ReQUIAM,2021-08-06,1,1
ReQUIAM,2021-08-09,1,1
ReQUIAM,2021-08-24,1,1
ReQUIAM,2021-08-25,1,1
ReQUIAM,2021-08-27,1,1
ReQUIAM,2021-08-31,1,1
ReQUIAM,2021-09-23,12,8
ReQUIAM,2021-09-24,7,3
ReQUIAM,2021-09-27,3,2
ReQUIAM,2021-10-05,1,1
ReQUIAM,2021-10-17,1,1
ReQUIAM,2021-10-20,2,1
ReQUIAM,2021-10-21,9,2
ReQUIAM,2021-10-22,11,2
ReQUIAM,2021-10-24,2,1
ReQUIAM,2021-10-28,2,1
ReQUIAM,2021-11-20,1,1
ReQUIAM,2021-11-21,1,1
ReQUIAM,2021-11-23,1,1
ReQUIAM,2021-11-27,1,1
ReQUIAM,2021-12-01,1,1
ReQUIAM,2021-12-15,1,1
ReQUIAM,2022-01-06,2,1
ReQUIAM,2022-01-07,1,1
ReQUIAM,2022-01-16,2,1
ReQUIAM,2022-01-18,2,1
ReQUIAM,2022-01-22,1,1
ReQUIAM,2022-01-25,5,4
ReQUIAM,2022-01-26,2,1
ReQUIAM,2022-01-29,2,1
ReQUIAM,2022-01-30,1,1
ReQUIAM,2022-02-06,1,1
ReQUIAM,2022-02-15,3,3
ReQUIAM,2022-02-17,1,1
ReQUIAM,2022-03-04,1,1
ReQUIAM,2022-03-15,2,1
ReQUIAM,2022-03-16,2,1
ReQUIAM,2022-04-02,1,1
ReQUIAM,2022-04-03,1,1
ReQUIAM,2022-04-05,1,1
ReQUIAM,2022-04-06,1,1
ReQUIAM,2022-04-09,1,1
ReQUIAM,2022-04-11,3,2
ReQUIAM,2022-04-24,3,2
ReQUIAM,2022-04-25,1,1
ReQUIAM,2022-04-27,7,4
ReQUIAM,2022-05-03,1,1
ReQUIAM,2022-05-12,1,1
ReQUIAM,2022-06-03,2,1
ReQUIAM,2022-06-13,1,1
ReQUIAM,2022-06-15,2,1
ReQUIAM,2022-06-16,2,1
ReQUIAM,2022-06-17,8,4
ReQUIAM,2022-06-20,3,2
ReQUIAM,2022-06-21,2,1
ReQUIAM,2022-06-22,6,1
ReQUIAM,2022-06-23,2,1
ReQUIAM,2022-06-24,1,1
ReQUIAM,2022-06-26,2,2
ReQUIAM,2022-06-27,53,4
ReQUIAM,2022-06-28,11,5
ReQUIAM,2022-06-29,7,4
ReQUIAM,2022-06-30,2,2
ReQUIAM,2022-07-01,2,2
ReQUIAM,2022-07-02,4,3
ReQUIAM,2022-07-05,10,4
ReQUIAM,2022-07-06,18,5
ReQUIAM,2022-07-08,35,8
ReQUIAM,2022-07-11,1,1
ReQUIAM,2022-07-12,46,17
ReQUIAM,2022-07-14,2,1
ReQUIAM,2022-07-18,29,10
ReQUIAM,2022-07-19,8,4
ReQUIAM,2022-07-20,2,2
ReQUIAM,2022-07-27,1,1
ReQUIAM,2022-07-30,3,2
ReQUIAM,2022-08-01,1,1
ReQUIAM,2022-08-03,1,1
ReQUIAM,2022-08-08,1,1
ReQUIAM,2022-08-09,2,2
ReQUIAM,2022-08-12,1,1
ReQUIAM,2022-08-13,2,1
ReQUIAM,2022-09-03,1,1
ReQUIAM,2022-09-17,2,1
ReQUIAM,2022-09-23,1,1
ReQUIAM,2022-10-21,2,2
ReQUIAM,2022-10-25,1,1
ReQUIAM,2022-10-26,2,1
ReQUIAM,2022-10-29,1,1
ReQUIAM,2022-10-30,1,1
ReQUIAM,2022-11-04,1,1
ReQUIAM,2022-11-08,2,1
ReQUIAM,2022-11-13,1,1
ReQUIAM,2022-11-19,2,2
ReQUIAM_csv,2021-03-01,3,2
ReQUIAM_csv,2021-03-02,12,6
ReQUIAM_csv,2021-03-03,9,5
ReQUIAM_csv,2021-03-04,69,9
ReQUIAM_csv,2021-03-05,6,3
ReQUIAM_csv,2021-03-07,1,1
ReQUIAM_csv,2021-03-09,4,1
ReQUIAM_csv,2021-03-11,10,3
ReQUIAM_csv,2021-03-15,29,11
ReQUIAM_csv,2021-03-17,1,1
ReQUIAM_csv,2021-03-27,1,1
ReQUIAM_csv,2021-04-04,1,1
ReQUIAM_csv,2021-04-07,15,4
ReQUIAM_csv,2021-04-19,17,3
ReQUIAM_csv,2021-04-20,8,5
ReQUIAM_csv,2021-04-21,1,1
ReQUIAM_csv,2021-05-08,1,1
ReQUIAM_csv,2021-05-11,1,1
ReQUIAM_csv,2021-05-25,1,1
ReQUIAM_csv,2021-06-03,1,1
ReQUIAM_csv,2021-06-28,10,3
ReQUIAM_csv,2021-07-01,36,12
ReQUIAM_csv,2021-07-03,1,1
ReQUIAM_csv,2021-07-07,8,8
ReQUIAM_csv,2021-07-09,1,1
ReQUIAM_csv,2021-07-12,1,1
ReQUIAM_csv,2021-07-16,1,1
ReQUIAM_csv,2021-07-19,57,14
ReQUIAM_csv,2021-07-22,2,1
ReQUIAM_csv,2021-07-24,1,1
ReQUIAM_csv,2021-08-10,1,1
ReQUIAM_csv,2021-08-23,1,1
ReQUIAM_csv,2021-08-24,6,1
ReQUIAM_csv,2021-08-25,1,1
ReQUIAM_csv,2021-08-27,1,1
ReQUIAM_csv,2021-09-27,1,1
ReQUIAM_csv,2021-10-10,1,1
ReQUIAM_csv,2021-10-13,1,1
ReQUIAM_csv,2021-10-14,1,1
ReQUIAM_csv,2021-10-17,1,1
ReQUIAM_csv,2021-10-20,4,1
ReQUIAM_csv,2021-10-21,10,2
ReQUIAM_csv,2021-10-22,7,2
ReQUIAM_csv,2021-10-24,2,1
ReQUIAM_csv,2021-11-01,1,1
ReQUIAM_csv,2021-11-02,1,1
ReQUIAM_csv,2021-11-03,5,2
ReQUIAM_csv,2021-11-07,1,1
ReQUIAM_csv,2021-11-08,5,2
ReQUIAM_csv,2021-11-09,4,1
ReQUIAM_csv,2021-11-10,11,6
ReQUIAM_csv,2021-11-16,1,1
ReQUIAM_csv,2021-11-21,1,1
ReQUIAM_csv,2021-11-25,1,1
ReQUIAM_csv,2021-11-26,1,1
ReQUIAM_csv,2021-11-28,1,1
ReQUIAM_csv,2021-12-09,1,1
ReQUIAM_csv,2021-12-10,1,1
ReQUIAM_csv,2022-01-02,2,1
ReQUIAM_csv,2022-01-06,2,1
ReQUIAM_csv,2022-01-07,1,1
ReQUIAM_csv,2022-01-15,1,1
ReQUIAM_csv,2022-01-18,2,1
ReQUIAM_csv,2022-01-25,2,1
ReQUIAM_csv,2022-01-26,1,1
ReQUIAM_csv,2022-01-29,2,1
ReQUIAM_csv,2022-02-14,1,1
ReQUIAM_csv,2022-02-15,1,1
ReQUIAM_csv,2022-03-04,2,2
ReQUIAM_csv,2022-03-16,4,2
ReQUIAM_csv,2022-03-17,4,2
ReQUIAM_csv,2022-03-22,2,1
ReQUIAM_csv,2022-03-25,4,2
ReQUIAM_csv,2022-03-31,2,1
ReQUIAM_csv,2022-04-03,1,1
ReQUIAM_csv,2022-04-07,1,1
ReQUIAM_csv,2022-04-20,2,1
ReQUIAM_csv,2022-04-21,2,1
ReQUIAM_csv,2022-04-22,2,1
ReQUIAM_csv,2022-04-23,2,1
ReQUIAM_csv,2022-04-24,1,1
ReQUIAM_csv,2022-04-25,2,1
ReQUIAM_csv,2022-04-27,2,1
ReQUIAM_csv,2022-04-29,4,2
ReQUIAM_csv,2022-05-03,2,1
ReQUIAM_csv,2022-05-16,1,1
ReQUIAM_csv,2022-06-07,1,1
ReQUIAM_csv,2022-06-13,1,1
ReQUIAM_csv,2022-06-15,2,1
ReQUIAM_csv,2022-06-21,2,2
ReQUIAM_csv,2022-06-27,8,6
ReQUIAM_csv,2022-06-28,2,2
ReQUIAM_csv,2022-07-07,1,1
ReQUIAM_csv,2022-07-12,2,2
ReQUIAM_csv,2022-07-13,5,2
ReQUIAM_csv,2022-07-14,37,10
ReQUIAM_csv,2022-07-15,8,3
ReQUIAM_csv,2022-07-20,2,2
ReQUIAM_csv,2022-07-23,1,1
ReQUIAM_csv,2022-08-02,1,1
ReQUIAM_csv,2022-08-03,1,1
ReQUIAM_csv,2022-08-08,2,2
ReQUIAM_csv,2022-08-09,12,7
ReQUIAM_csv,2022-08-12,1,1
ReQUIAM_csv,2022-08-13,2,1
ReQUIAM_csv,2022-08-16,5,3
ReQUIAM_csv,2022-08-22,1,1
ReQUIAM_csv,2022-09-15,1,1
ReQUIAM_csv,2022-09-17,3,2
ReQUIAM_csv,2022-09-22,1,1
ReQUIAM_csv,2022-09-28,1,1
ReQUIAM_csv,2022-10-21,1,1
ReQUIAM_csv,2022-10-22,1,1
ReQUIAM_csv,2022-10-25,1,1
ReQUIAM_csv,2022-10-26,2,1
ReQUIAM_csv,2022-11-02,1,1
ReQUIAM_csv,2022-11-05,1,1
ReQUIAM_csv,2022-11-08,2,1
ReQUIAM_csv,2022-11-10,2,1
ReQUIAM_csv,2022-11-13,2,2
ReQUIAM_csv,2022-11-14,2,2
ReQUIAM_csv,2022-11-15,1,1
UAL-RE,2021-04-26,8,5
UAL-RE,2021-05-13,1,1
UAL-RE,2021-07-01,3,3
UAL-RE,2021-07-03,1,1
UAL-RE,2021-07-12,1,1
UAL-RE,2021-08-21,1,1
UAL-RE,2021-09-05,1,1
UAL-RE,2021-10-20,3,1
UAL-RE,2021-10-21,5,1
UAL-RE,2021-10-22,8,2
UAL-RE,2021-11-01,1,1
UAL-RE,2021-11-05,1,1
UAL-RE,2021-11-08,1,1
UAL-RE,2022-01-07,1,1
UAL-RE,2022-01-14,2,1
UAL-RE,2022-01-19,2,1
UAL-RE,2022-01-25,2,1
UAL-RE,2022-02-18,1,1
UAL-RE,2022-03-04,1,1
UAL-RE,2022-04-07,2,1
UAL-RE,2022-05-18,2,1
UAL-RE,2022-07-25,1,1
UAL-RE,2022-08-05,1,1
UAL-RE,2022-08-09,1,1
UAL-RE,2022-10-21,1,1
UAL-RE,2022-10-25,1,1
UAL-RE,2022-11-12,1,1
UAL-RE,2022-11-16,1,1
data-service-landscape-scan,2021-02-28,1,1
data-service-landscape-scan,2021-03-16,1,1
data-service-landscape-scan,2021-04-01,1,1
data-service-landscape-scan,2021-04-02,3,1
data-service-landscape-scan,2021-04-14,1,1
data-service-landscape-scan,2021-04-20,1,1
data-service-landscape-scan,2021-04-28,1,1
data-service-landscape-scan,2021-05-12,1,1
data-service-landscape-scan,2021-05-13,1,1
data-service-landscape-scan,2021-05-17,3,3
data-service-landscape-scan,2021-05-20,1,1
data-service-landscape-scan,2021-05-24,1,1
data-service-landscape-scan,2021-05-26,1,1
data-service-landscape-scan,2021-05-28,2,2
data-service-landscape-scan,2021-05-31,1,1
data-service-landscape-scan,2021-06-02,1,1
data-service-landscape-scan,2021-06-03,1,1
data-service-landscape-scan,2021-06-08,1,1
data-service-landscape-scan,2021-07-01,1,1
